2025-04-03 08:30:59,806 - LOG - INFO - =======Option used=======
2025-04-03 08:32:49,320 - LOG - INFO - Epoch: 0 最高PSNR: 0.0000000
2025-04-03 08:34:45,260 - LOG - INFO - =======Option used=======
2025-04-03 08:41:03,302 - LOG - INFO - =======Option used=======
2025-04-03 16:00:29,774 - LOG - INFO - Epoch: 210/1000 average psnr: 48.1646664  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 16:04:41,037 - LOG - INFO - Epoch: 212/1000 average psnr: 48.1824474  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 16:08:56,509 - LOG - INFO - Epoch: 214/1000 average psnr: 48.1004734  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 16:13:05,679 - LOG - INFO - Epoch: 216/1000 average psnr: 48.1628155  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 16:17:19,987 - LOG - INFO - Epoch: 218/1000 average psnr: 48.0764557  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 16:21:33,744 - LOG - INFO - Epoch: 220/1000 average psnr: 48.2000435  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 16:25:55,485 - LOG - INFO - Epoch: 222/1000 average psnr: 48.1602009  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 16:30:03,998 - LOG - INFO - Epoch: 224/1000 average psnr: 47.9850761  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 16:34:08,547 - LOG - INFO - Epoch: 226/1000 average psnr: 48.1657486  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 16:38:18,447 - LOG - INFO - Epoch: 228/1000 average psnr: 48.1624950  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 16:42:29,780 - LOG - INFO - Epoch: 230/1000 average psnr: 48.1661385  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 16:46:37,270 - LOG - INFO - Epoch: 232/1000 average psnr: 48.1624355  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 16:50:44,522 - LOG - INFO - Epoch: 234/1000 average psnr: 48.1754135  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 16:54:51,661 - LOG - INFO - Epoch: 236/1000 average psnr: 48.1336468  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 16:59:01,191 - LOG - INFO - Epoch: 238/1000 average psnr: 48.0433975  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 17:03:28,820 - LOG - INFO - Epoch: 240/1000 average psnr: 48.1152721  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 17:07:31,398 - LOG - INFO - Epoch: 242/1000 average psnr: 48.2371475  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 17:11:33,284 - LOG - INFO - Epoch: 244/1000 average psnr: 48.1419136  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 17:15:43,074 - LOG - INFO - Epoch: 246/1000 average psnr: 48.0530025  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 17:20:06,223 - LOG - INFO - Epoch: 248/1000 average psnr: 48.1708847  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 17:24:18,325 - LOG - INFO - Epoch: 250/1000 average psnr: 48.2466343  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 17:28:34,465 - LOG - INFO - Epoch: 252/1000 average psnr: 48.2272232  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 17:32:44,038 - LOG - INFO - Epoch: 254/1000 average psnr: 48.2121582  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 17:36:56,919 - LOG - INFO - Epoch: 256/1000 average psnr: 48.1382282  bestpsnr: 48.3027023, bestepoch: 182
2025-04-03 17:41:17,477 - LOG - INFO - Epoch: 258/1000 average psnr: 48.3033699  bestpsnr: 48.3033699, bestepoch: 258
