2025-03-28 09:00:36,175 - LOG - INFO - =======Option used=======
2025-03-28 13:54:47,402 - LOG - INFO - Epoch: 126/500 average psnr: 48.0471066  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 13:59:26,009 - LOG - INFO - Epoch: 128/500 average psnr: 48.1526279  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 14:04:06,697 - LOG - INFO - Epoch: 130/500 average psnr: 48.3431953  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 14:08:43,449 - LOG - INFO - Epoch: 132/500 average psnr: 48.3785133  bestpsnr: 48.5612148, bestepoch: 38
2025-03-28 14:13:20,130 - LOG - INFO - Epoch: 134/500 average psnr: 48.5808025  bestpsnr: 48.5808025, bestepoch: 134
2025-03-28 14:17:48,484 - LOG - INFO - Epoch: 136/500 average psnr: 48.7346493  bestpsnr: 48.7346493, bestepoch: 136
2025-03-28 14:22:21,407 - LOG - INFO - Epoch: 138/500 average psnr: 48.7632481  bestpsnr: 48.7632481, bestepoch: 138
2025-03-28 14:26:53,985 - LOG - INFO - Epoch: 140/500 average psnr: 48.8414806  bestpsnr: 48.8414806, bestepoch: 140
2025-03-28 14:31:27,023 - LOG - INFO - Epoch: 142/500 average psnr: 48.8314045  bestpsnr: 48.8414806, bestepoch: 140
2025-03-28 14:36:03,076 - LOG - INFO - Epoch: 144/500 average psnr: 48.8837097  bestpsnr: 48.8837097, bestepoch: 144
2025-03-28 14:40:42,629 - LOG - INFO - Epoch: 146/500 average psnr: 48.8793163  bestpsnr: 48.8837097, bestepoch: 144
2025-03-28 14:45:23,764 - LOG - INFO - Epoch: 148/500 average psnr: 48.8897209  bestpsnr: 48.8897209, bestepoch: 148
2025-03-28 14:49:56,545 - LOG - INFO - Epoch: 150/500 average psnr: 48.9313766  bestpsnr: 48.9313766, bestepoch: 150
2025-03-28 14:54:32,595 - LOG - INFO - Epoch: 152/500 average psnr: 48.8193237  bestpsnr: 48.9313766, bestepoch: 150
2025-03-28 14:59:15,776 - LOG - INFO - Epoch: 154/500 average psnr: 48.7644390  bestpsnr: 48.9313766, bestepoch: 150
2025-03-28 15:03:50,565 - LOG - INFO - Epoch: 156/500 average psnr: 48.9637154  bestpsnr: 48.9637154, bestepoch: 156
