2025-04-02 17:49:01,349 - LOG - INFO - Epoch: 120/500, current_lr:0.00018, average psnr: 49.72181  bestpsnr: 49.78325, bestepoch: 118
2025-04-02 17:53:00,716 - LOG - INFO - Epoch: 122/500, current_lr:0.00018, average psnr: 49.77983  bestpsnr: 49.78325, bestepoch: 118
2025-04-02 17:56:59,470 - LOG - INFO - Epoch: 124/500, current_lr:0.00018, average psnr: 49.83369  bestpsnr: 49.83369, bestepoch: 124
2025-04-02 18:00:57,693 - LOG - INFO - Epoch: 126/500, current_lr:0.00018, average psnr: 49.58753  bestpsnr: 49.83369, bestepoch: 124
2025-04-02 18:04:56,356 - LOG - INFO - Epoch: 128/500, current_lr:0.00018, average psnr: 49.70194  bestpsnr: 49.83369, bestepoch: 124
2025-04-02 18:08:54,852 - LOG - INFO - Epoch: 130/500, current_lr:0.00018, average psnr: 49.91418  bestpsnr: 49.91418, bestepoch: 130
2025-04-02 18:12:53,391 - LOG - INFO - Epoch: 132/500, current_lr:0.00018, average psnr: 49.84088  bestpsnr: 49.91418, bestepoch: 130
2025-04-02 18:16:51,608 - LOG - INFO - Epoch: 134/500, current_lr:0.00018, average psnr: 49.80115  bestpsnr: 49.91418, bestepoch: 130
2025-04-02 18:20:49,475 - LOG - INFO - Epoch: 136/500, current_lr:0.00018, average psnr: 49.81691  bestpsnr: 49.91418, bestepoch: 130
2025-04-02 18:24:46,027 - LOG - INFO - Epoch: 138/500, current_lr:0.00018, average psnr: 49.89589  bestpsnr: 49.91418, bestepoch: 130
2025-04-02 18:28:45,115 - LOG - INFO - Epoch: 140/500, current_lr:0.00018, average psnr: 49.71576  bestpsnr: 49.91418, bestepoch: 130
2025-04-02 18:32:43,268 - LOG - INFO - Epoch: 142/500, current_lr:0.00018, average psnr: 49.83413  bestpsnr: 49.91418, bestepoch: 130
2025-04-02 18:36:41,593 - LOG - INFO - Epoch: 144/500, current_lr:0.00018, average psnr: 49.75312  bestpsnr: 49.91418, bestepoch: 130
2025-04-02 18:40:39,095 - LOG - INFO - Epoch: 146/500, current_lr:0.00018, average psnr: 49.67418  bestpsnr: 49.91418, bestepoch: 130
2025-04-02 18:44:37,541 - LOG - INFO - Epoch: 148/500, current_lr:0.00018, average psnr: 49.89831  bestpsnr: 49.91418, bestepoch: 130
2025-04-02 18:48:35,963 - LOG - INFO - Epoch: 150/500, current_lr:0.00017, average psnr: 49.19900  bestpsnr: 49.91418, bestepoch: 130
2025-04-02 18:52:34,419 - LOG - INFO - Epoch: 152/500, current_lr:0.00017, average psnr: 49.99076  bestpsnr: 49.99076, bestepoch: 152
2025-04-02 18:56:32,950 - LOG - INFO - Epoch: 154/500, current_lr:0.00017, average psnr: 49.82455  bestpsnr: 49.99076, bestepoch: 152
2025-04-02 19:00:31,792 - LOG - INFO - Epoch: 156/500, current_lr:0.00017, average psnr: 50.01938  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 19:04:30,415 - LOG - INFO - Epoch: 158/500, current_lr:0.00017, average psnr: 49.92314  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 19:08:28,922 - LOG - INFO - Epoch: 160/500, current_lr:0.00017, average psnr: 49.97956  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 19:12:26,982 - LOG - INFO - Epoch: 162/500, current_lr:0.00017, average psnr: 49.92291  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 19:16:26,231 - LOG - INFO - Epoch: 164/500, current_lr:0.00017, average psnr: 49.89200  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 19:20:25,431 - LOG - INFO - Epoch: 166/500, current_lr:0.00017, average psnr: 49.86344  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 19:24:24,381 - LOG - INFO - Epoch: 168/500, current_lr:0.00017, average psnr: 49.88183  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 19:28:23,990 - LOG - INFO - Epoch: 170/500, current_lr:0.00017, average psnr: 49.82132  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 19:32:25,774 - LOG - INFO - Epoch: 172/500, current_lr:0.00017, average psnr: 49.95205  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 19:36:25,829 - LOG - INFO - Epoch: 174/500, current_lr:0.00017, average psnr: 49.83378  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 19:40:24,379 - LOG - INFO - Epoch: 176/500, current_lr:0.00017, average psnr: 49.87734  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 19:44:51,597 - LOG - INFO - Epoch: 178/500, current_lr:0.00017, average psnr: 49.91314  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 19:49:26,754 - LOG - INFO - Epoch: 180/500, current_lr:0.00017, average psnr: 49.97240  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 19:53:48,471 - LOG - INFO - Epoch: 182/500, current_lr:0.00017, average psnr: 49.76812  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 19:58:09,324 - LOG - INFO - Epoch: 184/500, current_lr:0.00017, average psnr: 49.74420  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 20:02:57,135 - LOG - INFO - Epoch: 186/500, current_lr:0.00017, average psnr: 49.98733  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 20:06:56,534 - LOG - INFO - Epoch: 188/500, current_lr:0.00017, average psnr: 49.93503  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 20:10:56,723 - LOG - INFO - Epoch: 190/500, current_lr:0.00017, average psnr: 49.94448  bestpsnr: 50.01938, bestepoch: 156
2025-04-02 20:14:56,470 - LOG - INFO - Epoch: 192/500, current_lr:0.00017, average psnr: 50.06545  bestpsnr: 50.06545, bestepoch: 192
2025-04-02 20:18:57,913 - LOG - INFO - Epoch: 194/500, current_lr:0.00017, average psnr: 49.93437  bestpsnr: 50.06545, bestepoch: 192
2025-04-02 20:22:57,511 - LOG - INFO - Epoch: 196/500, current_lr:0.00017, average psnr: 49.87305  bestpsnr: 50.06545, bestepoch: 192
2025-04-02 20:26:56,835 - LOG - INFO - Epoch: 198/500, current_lr:0.00017, average psnr: 49.80712  bestpsnr: 50.06545, bestepoch: 192
2025-04-02 20:30:57,340 - LOG - INFO - Epoch: 200/500, current_lr:0.00017, average psnr: 49.86741  bestpsnr: 50.06545, bestepoch: 192
2025-04-02 20:34:57,379 - LOG - INFO - Epoch: 202/500, current_lr:0.00017, average psnr: 49.96091  bestpsnr: 50.06545, bestepoch: 192
2025-04-02 20:38:57,737 - LOG - INFO - Epoch: 204/500, current_lr:0.00017, average psnr: 49.97873  bestpsnr: 50.06545, bestepoch: 192
2025-04-02 20:42:57,187 - LOG - INFO - Epoch: 206/500, current_lr:0.00017, average psnr: 49.89629  bestpsnr: 50.06545, bestepoch: 192
2025-04-02 20:46:55,710 - LOG - INFO - Epoch: 208/500, current_lr:0.00017, average psnr: 49.86170  bestpsnr: 50.06545, bestepoch: 192
2025-04-02 20:50:55,228 - LOG - INFO - Epoch: 210/500, current_lr:0.00017, average psnr: 49.97559  bestpsnr: 50.06545, bestepoch: 192
2025-04-02 20:54:53,208 - LOG - INFO - Epoch: 212/500, current_lr:0.00017, average psnr: 49.93727  bestpsnr: 50.06545, bestepoch: 192
2025-04-02 20:58:54,731 - LOG - INFO - Epoch: 214/500, current_lr:0.00017, average psnr: 49.92378  bestpsnr: 50.06545, bestepoch: 192
2025-04-02 21:02:52,974 - LOG - INFO - Epoch: 216/500, current_lr:0.00017, average psnr: 49.86661  bestpsnr: 50.06545, bestepoch: 192
2025-04-02 21:06:50,887 - LOG - INFO - Epoch: 218/500, current_lr:0.00017, average psnr: 49.91685  bestpsnr: 50.06545, bestepoch: 192
